Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1690946688.208	     9.684	0	32	0	0	run_generic mobilenet_v1
4	:	1690946693.499	    12.812	0	32	0	0	run_generic mobilenet_v2
1	:	1690946677.678	    34.581	0	28	0	0	run_generic resnet50
7	:	1690946709.870	     8.175	0	35	0	0	run_generic squeezenet_v1.1
8	:	1690946715.062	     8.760	0	33	0	0	run_generic shufflenet_v2
5	:	1690946698.929	    27.381	0	32	0	0	run_generic inception_v3
2	:	1690946683.146	    48.764	0	25	0	0	run_generic vgg16
6	:	1690946704.449	    47.700	0	32	0	0	run_generic inception_v4
9	:	1690946720.427	    38.453	0	32	0	0	run_generic densenet_121
14	:	1690946747.320	    15.847	0	37	0	0	run_generic retinaface_mnet25
11	:	1690946731.297	    33.013	0	31	0	0	run_generic senet_res50
15	:	1690946752.661	    17.253	0	41	0	0	run_generic retinaface_mnet25_600
12	:	1690946736.779	    37.398	0	29	0	0	run_generic resnext50
13	:	1690946742.235	    35.391	0	33	0	0	run_generic arcface_res50
18	:	1690946768.593	    19.308	0	33	0	0	run_generic mobilenet_ssd
19	:	1690946773.859	    24.707	0	31	0	0	run_generic yolo_v1_448
10	:	1690946725.791	   104.015	0	32	0	0	run_generic densenet_201
21	:	1690946784.141	    70.049	0	31	0	0	run_generic yolo_v2_416
25	:	1690946829.810	    28.197	0	32	0	0	run_generic yolo_v3_tiny
17	:	1690946763.125	   112.398	0	26	0	0	run_generic ssd300
22	:	1690946789.201	   106.237	0	31	0	0	run_generic yolo_v3_608
28	:	1690946875.529	    25.971	0	28	0	0	run_generic resnet18
24	:	1690946799.885	   103.433	0	31	0	0	run_generic yolo_v3_320
29	:	1690946895.441	    23.010	0	35	0	0	run_generic efficientnet_b0
30	:	1690946901.507	    18.516	0	40	0	0	run_generic efficientnet-lite_b0
32	:	1690946918.454	     6.051	0	28	0	0	run_generic espcn_3x
23	:	1690946794.754	   137.752	0	31	0	0	run_generic yolo_v3_416
31	:	1690946906.925	    62.654	0	29	0	0	run_generic alphapose
16	:	1690946757.858	   218.590	0	36	0	0	run_generic retinaface_res50
35	:	1690946934.638	    51.055	0	29	0	0	run_generic res2net50
34	:	1690946929.399	    57.082	0	28	0	0	run_generic ecanet50
27	:	1690946859.587	   143.130	0	27	0	0	run_generic yolo_v4
20	:	1690946778.966	   223.883	0	32	0	0	run_generic yolo_v2_1080
40	:	1690947002.719	    18.150	0	35	0	0	run_generic squeezenet_v1.0
37	:	1690946976.456	    75.212	0	29	0	0	run_generic yolo_v5_s
36	:	1690946969.585	    98.915	0	29	0	0	run_generic yolo_v4_s
38	:	1690946985.704	    90.315	0	27	0	0	run_generic yolox_s
26	:	1690946854.199	   261.933	0	31	0	0	run_generic yolo_v3_spp
41	:	1690947008.098	   111.769	0	26	0	0	run_generic yolact
33	:	1690946924.044	   204.061	0	24	0	0	run_generic unet
46	:	1690947116.134	    18.503	0	26	1	0	run_generic segnet
49	:	1690947134.640	     7.536	0	29	0	0	run_generic blazeface
48	:	1690947128.119	    17.312	0	36	0	0	run_generic resnet_res_blstm
51	:	1690947147.500	     6.717	0	27	0	0	run_generic gaitset
50	:	1690947142.178	    12.532	0	29	0	0	run_generic faceboxes
43	:	1690947051.673	   109.154	0	25	0	0	run_generic icnet
53	:	1690947159.917	    32.575	0	28	0	0	run_generic resnetv2
45	:	1690947076.030	   137.189	0	24	0	0	run_generic enet
55	:	1690947192.496	    23.243	0	31	0	0	run_generic ppyolo_tiny
39	:	1690946991.369	   236.717	0	27	0	0	run_generic yolo_v7
52	:	1690947154.219	    76.040	0	35	0	0	run_generic efficientdet_d0
54	:	1690947165.081	    72.069	0	27	0	0	run_generic yolox_s
44	:	1690947068.503	   178.572	0	26	0	0	run_generic erfnet
56	:	1690947213.222	    46.914	0	32	0	0	run_generic yolov5s-face
42	:	1690947020.873	   390.371	0	31	0	0	run_generic faster_rcnn
47	:	1690947121.393	   358.616	0	26	0	15	run_generic fcn-8s
